epoch,loss,accuracy,val_accuracy
001,3.679992935788913,0.16367692307692308,0.1458
006,3.4884132569230446,0.20084615384615384,0.1686
011,3.077955354855755,0.28175384615384613,0.1948
016,3.047089434984162,0.2843769230769231,0.2098
021,2.9237061138228166,0.30987692307692305,0.2252
026,2.8248741880176573,0.3287846153846154,0.2404
031,2.741982851441451,0.3448,0.256
036,2.7374950346984264,0.34681538461538464,0.2622
041,2.6973949839749674,0.35186923076923077,0.2718
046,2.648676643221397,0.36317692307692306,0.2798
051,2.6398709101939763,0.3654076923076923,0.2874
056,2.5480224588724574,0.38376923076923075,0.301
061,2.56720466688862,0.37974615384615384,0.3052
066,2.5307046728809985,0.38753846153846155,0.3118
071,2.4815438788706863,0.39865384615384614,0.3244
076,2.4673412925615086,0.4019923076923077,0.3252
081,2.416183544894842,0.41226153846153846,0.337
086,2.3941898205148893,0.41696153846153844,0.3348
091,2.390940353626341,0.41796923076923076,0.3384
096,2.384607476512278,0.4193076923076923,0.34
100,2.3834113342555487,0.4193153846153846,0.3374
