epoch,loss,accuracy,val_accuracy
001,3.752123429080633,0.1492923076923077,0.1298
006,3.533973859989737,0.1904,0.1694
011,3.2107403963569583,0.25477692307692307,0.2114
016,3.097042248943659,0.27726153846153845,0.2294
021,3.0139174038969627,0.29226153846153846,0.2454
026,2.9376405214700174,0.3060230769230769,0.2608
031,2.91845293214002,0.3084076923076923,0.2544
036,2.8712210542573704,0.3187615384615385,0.2554
041,2.8243078556586436,0.32584615384615384,0.272
046,2.782187830744766,0.33432307692307695,0.2798
051,2.7256574940493725,0.3459846153846154,0.2866
056,2.6952136848855206,0.35144615384615385,0.2936
061,2.6878875606641994,0.3523076923076923,0.2916
066,2.6448146724325468,0.3606846153846154,0.3062
071,2.577939053220073,0.3731307692307692,0.3184
076,2.5241322188865483,0.38453076923076923,0.323
081,2.512744619151739,0.3882,0.327
086,2.488087427897716,0.39136923076923075,0.3286
091,2.4792566815699177,0.3941923076923077,0.331
096,2.4683166751711387,0.3964076923076923,0.3348
100,2.4673816434980376,0.39697692307692306,0.3372
